Component Name,Licenses,Licenses Links,Package Type,Component Id,Package Id,Version,Concluded Licenses
3.24:alpine-baselayout,GPL-2.0,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,alpine,3.24:alpine-baselayout:3.7.2-r1,alpine://3.24:alpine-baselayout,3.7.2-r1,GPL-2.0
3.24:alpine-baselayout-data,GPL-2.0,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,alpine,3.24:alpine-baselayout-data:3.7.2-r1,alpine://3.24:alpine-baselayout-data,3.7.2-r1,GPL-2.0
3.24:alpine-keys,MIT,http://www.opensource.org/licenses/MIT,alpine,3.24:alpine-keys:2.6-r0,alpine://3.24:alpine-keys,2.6-r0,MIT
3.24:alpine-release,MIT,http://www.opensource.org/licenses/MIT,alpine,3.24:alpine-release:3.24.1-r0,alpine://3.24:alpine-release,3.24.1-r0,MIT
3.24:alsa-lib,LGPL-2.1,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html,alpine,3.24:alsa-lib:1.2.15.3-r0,alpine://3.24:alsa-lib,1.2.15.3-r0,LGPL-2.1
3.24:apk-tools,GPL-2.0,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,alpine,3.24:apk-tools:3.0.6-r0,alpine://3.24:apk-tools,3.0.6-r0,GPL-2.0
3.24:busybox,GPL-2.0,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,alpine,3.24:busybox:1.37.0-r31,alpine://3.24:busybox,1.37.0-r31,GPL-2.0
3.24:busybox-binsh,GPL-2.0,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,alpine,3.24:busybox-binsh:1.37.0-r31,alpine://3.24:busybox-binsh,1.37.0-r31,GPL-2.0
3.24:ca-certificates-bundle,"MIT,MPL-2.0","http://www.opensource.org/licenses/MIT,http://opensource.org/licenses/MPL-2.0",alpine,3.24:ca-certificates-bundle:20260611-r0,alpine://3.24:ca-certificates-bundle,20260611-r0,MIT
3.24:java-common,GPL-2.0,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,alpine,3.24:java-common:1.0-r2,alpine://3.24:java-common,1.0-r2,GPL-2.0
3.24:libapk,GPL-2.0,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,alpine,3.24:libapk:3.0.6-r0,alpine://3.24:libapk,3.0.6-r0,GPL-2.0
3.24:libbsd,BSD-3-Clause,http://opensource.org/licenses/BSD-3-Clause,alpine,3.24:libbsd:0.12.2-r0,alpine://3.24:libbsd,0.12.2-r0,BSD-3-Clause
3.24:libcrypto3,Apache-2.0,http://licenses.nuget.org/Apache-2.0,alpine,3.24:libcrypto3:3.5.7-r0,alpine://3.24:libcrypto3,3.5.7-r0,Apache-2.0
3.24:libmd,"Beerware,BSD-2-Clause,BSD-3-Clause,ISC,LicenseRef-jfrog-public-domain","https://fedoraproject.org/wiki/Licensing/Beerware,http://opensource.org/licenses/BSD-2-Clause,http://opensource.org/licenses/BSD-3-Clause,http://www.opensource.org/licenses/ISC,https://creativecommons.org/public-domain",alpine,3.24:libmd:1.2.0-r0,alpine://3.24:libmd,1.2.0-r0,LicenseRef-jfrog-public-domain
3.24:libssl3,Apache-2.0,http://licenses.nuget.org/Apache-2.0,alpine,3.24:libssl3:3.5.7-r0,alpine://3.24:libssl3,3.5.7-r0,Apache-2.0
3.24:libx11,X11,http://www.xfree86.org/3.3.6/COPYRIGHT2.html#3,alpine,3.24:libx11:1.8.13-r0,alpine://3.24:libx11,1.8.13-r0,X11
3.24:libxau,MIT,http://www.opensource.org/licenses/MIT,alpine,3.24:libxau:1.0.12-r0,alpine://3.24:libxau,1.0.12-r0,MIT
3.24:libxcb,MIT,http://www.opensource.org/licenses/MIT,alpine,3.24:libxcb:1.17.0-r2,alpine://3.24:libxcb,1.17.0-r2,MIT
3.24:libxdmcp,MIT,http://www.opensource.org/licenses/MIT,alpine,3.24:libxdmcp:1.1.5-r1,alpine://3.24:libxdmcp,1.1.5-r1,MIT
3.24:libxext,MIT,http://www.opensource.org/licenses/MIT,alpine,3.24:libxext:1.3.7-r0,alpine://3.24:libxext,1.3.7-r0,MIT
3.24:libxi,"MIT,X11","http://www.opensource.org/licenses/MIT,http://www.xfree86.org/3.3.6/COPYRIGHT2.html#3",alpine,3.24:libxi:1.8.3-r0,alpine://3.24:libxi,1.8.3-r0,"MIT,X11"
3.24:libxrender,MIT,http://www.opensource.org/licenses/MIT,alpine,3.24:libxrender:0.9.12-r0,alpine://3.24:libxrender,0.9.12-r0,MIT
3.24:libxtst,MIT,http://www.opensource.org/licenses/MIT,alpine,3.24:libxtst:1.2.5-r0,alpine://3.24:libxtst,1.2.5-r0,MIT
3.24:musl,MIT,http://www.opensource.org/licenses/MIT,alpine,3.24:musl:1.2.6-r2,alpine://3.24:musl,1.2.6-r2,MIT
3.24:musl-utils,"BSD-2-Clause,GPL-2.0,MIT","http://opensource.org/licenses/BSD-2-Clause,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,http://www.opensource.org/licenses/MIT",alpine,3.24:musl-utils:1.2.6-r2,alpine://3.24:musl-utils,1.2.6-r2,"BSD-2-Clause,MIT"
3.24:scanelf,GPL-2.0,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,alpine,3.24:scanelf:1.3.9-r1,alpine://3.24:scanelf,1.3.9-r1,GPL-2.0
3.24:ssl_client,GPL-2.0,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,alpine,3.24:ssl_client:1.37.0-r31,alpine://3.24:ssl_client,1.37.0-r31,GPL-2.0
3.24:tzdata,LicenseRef-jfrog-public-domain,https://creativecommons.org/public-domain,alpine,3.24:tzdata:2026c-r0,alpine://3.24:tzdata,2026c-r0,LicenseRef-jfrog-public-domain
3.24:zlib,Zlib,http://www.opensource.org/licenses/Zlib,alpine,3.24:zlib:1.3.2-r0,alpine://3.24:zlib,1.3.2-r0,Zlib
3.24:zulu21-ca-jdk,GPL-2.0-only,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,alpine,3.24:zulu21-ca-jdk:21.0.11-r3,alpine://3.24:zulu21-ca-jdk,21.0.11-r3,GPL-2.0-only
